row_type,instance_dir,instance_name,instance_count,fitness,obj,solve_time,x,total_costs,violation,total_costs_dim1,total_costs_dim2,total_costs_dim3,violation_dim1,violation_dim2,violation_dim3,resource_utilization_dim1,resource_utilization_dim2,resource_utilization_dim3,value_to_cost_profile_dim1,value_to_cost_profile_dim2,value_to_cost_profile_dim3,capacity_mask,precedence_violation,fitness_mean_over_instances,fitness_std_over_instances,obj_mean_over_instances,obj_std_over_instances,solve_time_mean_over_instances,solve_time_std_over_instances,precedence_violation_mean_over_instances,precedence_violation_std_over_instances,violation_dim1_mean_over_instances,violation_dim1_std_over_instances,violation_dim2_mean_over_instances,violation_dim2_std_over_instances,violation_dim3_mean_over_instances,violation_dim3_std_over_instances,total_costs_dim1_mean_over_instances,total_costs_dim1_std_over_instances,total_costs_dim2_mean_over_instances,total_costs_dim2_std_over_instances,total_costs_dim3_mean_over_instances,total_costs_dim3_std_over_instances,resource_utilization_dim1_mean_over_instances,resource_utilization_dim1_std_over_instances,resource_utilization_dim2_mean_over_instances,resource_utilization_dim2_std_over_instances,resource_utilization_dim3_mean_over_instances,resource_utilization_dim3_std_over_instances,value_to_cost_profile_dim1_mean_over_instances,value_to_cost_profile_dim1_std_over_instances,value_to_cost_profile_dim2_mean_over_instances,value_to_cost_profile_dim2_std_over_instances,value_to_cost_profile_dim3_mean_over_instances,value_to_cost_profile_dim3_std_over_instances
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670487.sm,,23.309512,23.309512,3.5356028999958653,"[1 1 0 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1
 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0]",[ 8.092275 12.20937   8.691729],[0. 0. 0.],8.092275,12.209369999999998,8.691729,0.0,0.0,0.0,0.9993085839567276,0.90343732352095,0.900561708169744,2.880464640660383,1.9091494483335345,2.681803816018654,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670488.sm,,25.6932003,25.6932003,2.7733603000087896,"[1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0
 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0]",[10.464163 12.589808  9.188577],[0. 0. 0.],10.464163,12.589808,9.188577,0.0,0.0,0.0,0.9952923140547276,0.95689025836659,0.7420009559485997,2.455351689380221,2.040793656265449,2.7962110237526443,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670489.sm,,25.551857400000003,25.551857400000003,2.947823199996492,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 0
 1 1 1 1 1 0 1 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0]",[10.069075 13.654161  9.885437],[0. 0. 0.],10.069074999999998,13.654161000000002,9.885436999999998,0.0,0.0,0.0,0.9977772395913947,0.9651894061143824,0.7558562892071168,2.537656875135006,1.8713604885719453,2.5847979608792215,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670490.sm,,23.522735500000003,23.522735500000003,3.2280113000015263,"[0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1
 1 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0]",[ 8.373639 11.741383 10.135855],[0. 0. 0.],8.373638999999999,11.741383,10.135855000000001,0.0,0.0,0.0,0.9996858983772012,0.8023687043087251,0.7062786463811657,2.8091413422527536,2.0034041560521447,2.320745067880312,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670491.sm,,24.5419348,24.5419348,3.3783686999959173,"[1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1
 1 1 1 1 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0]",[ 9.902332 14.585008 11.819323],[0. 0. 0.],9.902332000000001,14.585007999999997,11.819323,0.0,0.0,0.0,0.9999729364005414,0.9899618534003387,0.6940730226609032,2.478399512357291,1.6826822995229078,2.076424749539377,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670492.sm,,25.411641,25.411641,2.923698600003263,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0
 1 1 1 1 1 0 1 1 1 1 0 1 1 0 0 1 1 0 0 0 0 0 0]",[10.32999  14.348807 11.509771],[0. 0. 0.],10.32999,14.348806999999999,11.509771,0.0,0.0,0.0,0.998536219882335,0.9604304558742567,0.7723810242808276,2.4599869893388084,1.7709932958189487,2.2078320237648517,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670493.sm,,25.7163369,25.7163369,2.6925964999973075,"[0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 1 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0]",[ 8.562381 11.776173 10.517221],[0. 0. 0.],8.562381,11.776173,10.517221000000001,0.0,0.0,0.0,0.9961996708568716,0.8734092833231785,0.7388835905180121,3.003409553954677,2.183760114597501,2.4451646399747613,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670494.sm,,24.640465,24.640465,3.663331299991114,"[1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1
 0 0 1 1 1 1 1 1 0 0 1 0 1 0 1 1 0 0 1 0 0 1 0]",[ 9.202123 15.368506 10.12854 ],[0. 0. 0.],9.202123,15.368505999999998,10.12854,0.0,0.0,0.0,0.9998878645421053,0.9931894957771125,0.7088941029706174,2.677693506161567,1.6033090659560534,2.432775602406665,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670495.sm,,25.771102,25.771102,2.930762699994375,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1
 0 0 0 1 1 0 0 1 1 1 0 0 0 0 1 1 0 1 0 0 1 1 0]",[10.438297 12.87652  12.307047],[0. 0. 0.],10.438296999999997,12.87652,12.307047,0.0,0.0,0.0,0.9997210093466176,0.9704931791992729,0.83260580673187,2.4688990934057546,2.0014027081851307,2.094011829157717,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670496.sm,,24.1928849,24.1928849,3.1418088000064017,"[1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
 1 1 0 1 1 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0]",[ 8.102102 12.166407 10.064967],[0. 0. 0.],8.102102,12.166407,10.064967,0.0,0.0,0.0,0.9973098085083414,0.9195318631392974,0.8504915460102647,2.9860010278814064,1.9884987326167864,2.403672550540901,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670497.sm,,25.6660493,25.6660493,2.882771300006425,"[1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0 1 0 1
 1 1 1 1 1 0 1 0 1 1 0 1 1 0 1 1 1 0 0 1 0 0 0]",[ 8.305097 11.286693 10.597374],[0. 0. 0.],8.305097,11.286692999999998,10.597373999999999,0.0,0.0,0.0,0.9983976535945621,0.9784892104043964,0.9226921494964507,3.0903972945770533,2.274009694425108,2.4219254034065423,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670498.sm,,25.268388400000003,25.268388400000003,3.087571600000956,"[1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1
 0 1 0 0 1 1 0 1 1 1 0 0 1 0 0 0 0 1 0 1 0 1 1]",[ 9.77319  13.579282 11.549515],[0. 0. 0.],9.773190000000001,13.579282,11.549515,0.0,0.0,0.0,0.9988383734530214,0.9770774012137267,0.8883337573927086,2.58548011447644,1.8608044519585059,2.1878311253762606,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670499.sm,,24.3964675,24.3964675,3.2331719000067096,"[1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 0 1
 1 0 1 1 1 1 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 1]",[ 9.865914 13.617321 10.098026],[0. 0. 0.],9.865914,13.617321000000002,10.098026,0.0,0.0,0.0,0.9962624181719203,0.9943912456492303,0.6932905194241681,2.4728035841382763,1.791576147760635,2.4159640210868933,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670500.sm,,23.372683,23.372683,3.208739299996523,"[1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1
 1 1 1 0 0 0 1 0 1 1 0 1 1 1 0 0 1 0 0 0 1 0 0]",[ 8.708473 12.087704 10.441842],[0. 0. 0.],8.708473,12.087704000000004,10.441841999999998,0.0,0.0,0.0,0.9996022698967784,0.9752334025942427,0.6626680477854227,2.683901414174448,1.933591606809696,2.238367809051315,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670501.sm,,23.818607699999998,23.818607699999998,3.9172503000008874,"[1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 0 0 1
 1 0 1 1 1 1 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0]",[ 8.958936 14.280562 10.943651],[0. 0. 0.],8.958936000000001,14.280562,10.943651000000001,0.0,0.0,0.0,0.9979201586881496,0.9664713947907346,0.9128929385345866,2.6586424660249826,1.6679040852873996,2.1764772743575245,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670502.sm,,23.4042934,23.4042934,3.040263999995659,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 0 0 1 1 1 1 0
 1 0 1 1 0 1 1 0 1 1 1 0 0 1 1 0 0 1 0 0 0 0 0]",[ 9.408076 12.136216  9.01536 ],[0. 0. 0.],9.408076,12.136216,9.015359999999998,0.0,0.0,0.0,0.9969113798718775,0.911385142583878,0.6525233623349023,2.487681158187923,1.9284671103414772,2.5960464584886247,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instance,D:\project\instance_generator\new_instances0416\staircase\20260416-1912\staircase\group1,inst_V60_w6-10_s670503.sm,,25.697864099999997,25.697864099999997,2.966004999994766,"[1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 0 1 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0]",[ 8.216558 11.596293  9.248743],[0. 0. 0.],8.216558000000001,11.596293000000001,9.248742999999997,0.0,0.0,0.0,0.9947451338462412,0.9575706033582828,0.7626083927183673,3.1275704619866365,2.216041290091583,2.7785250492958884,[False False False],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
